Educational qualification ,Field of study ,Canadian graduates ,Canadian Median  income 2 years after graduation ,Canadin Median income 5 years after graduation 
"Career, technical or professional training certificate",Education,880,"32,000","31,500"
"Career, technical or professional training certificate","Visual and performing arts, and communications technologies",680,"25,100","28,300"
"Career, technical or professional training certificate",Humanities,720,"23,000","31,700"
"Career, technical or professional training certificate",Social and behavioural sciences and law,"1,400","38,600","42,400"
"Career, technical or professional training certificate","Business, management and public administration","3,420","41,200","45,400"
"Career, technical or professional training certificate",Physical and life sciences and technologies,NA,NA,NA
"Career, technical or professional training certificate","Mathematics, computer and information sciences",340,"46,500","53,900"
"Career, technical or professional training certificate","Architecture, engineering, and related technologies","7,570","42,200","50,500"
"Career, technical or professional training certificate","Agriculture, natural resources and conservation",390,"34,600","40,000"
"Career, technical or professional training certificate",Health and related fields,"7,310","39,800","41,800"
"Career, technical or professional training certificate","Personal, protective and transportation services","3,240","39,300","45,800"
"Career, technical or professional training certificate",Other instructional programs,NA,NA,NA
"Career, technical or professional training diploma",Education,"1,710","40,400","44,100"
"Career, technical or professional training diploma","Visual and performing arts, and communications technologies","3,690","32,700","39,900"
"Career, technical or professional training diploma",Humanities,380,"32,600","41,100"
"Career, technical or professional training diploma",Social and behavioural sciences and law,"8,290","39,100","42,000"
"Career, technical or professional training diploma","Business, management and public administration","12,300","41,800","48,300"
"Career, technical or professional training diploma",Physical and life sciences and technologies,530,"45,500","52,800"
"Career, technical or professional training diploma","Mathematics, computer and information sciences","2,430","51,000","61,800"
"Career, technical or professional training diploma","Architecture, engineering, and related technologies","11,340","55,500","65,700"
"Career, technical or professional training diploma","Agriculture, natural resources and conservation","1,240","43,300","49,800"
"Career, technical or professional training diploma",Health and related fields,"12,930","51,000","54,700"
"Career, technical or professional training diploma","Personal, protective and transportation services","5,010","40,000","47,800"
"Career, technical or professional training diploma",Other instructional programs,100,"37,400","50,000"
Undergraduate degree ,Education,"9,780","56,100","62,800"
Undergraduate degree ,"Visual and performing arts, and communications technologies","4,570","34,800","44,000"
Undergraduate degree ,Humanities,"5,000","41,100","50,700"
Undergraduate degree ,Social and behavioural sciences and law,"17,730","46,500","58,100"
Undergraduate degree ,"Business, management and public administration","25,740","57,600","72,400"
Undergraduate degree ,Physical and life sciences and technologies,"4,550","46,700","60,100"
Undergraduate degree ,"Mathematics, computer and information sciences","3,360","69,100","88,400"
Undergraduate degree ,"Architecture, engineering, and related technologies","10,830","72,600","86,800"
Undergraduate degree ,"Agriculture, natural resources and conservation","1,670","54,700","63,500"
Undergraduate degree ,Health and related fields,"13,810","73,500","78,800"
Undergraduate degree ,"Personal, protective and transportation services",860,"54,700","68,200"
Undergraduate degree ,Other instructional programs,"1,010","54,800","66,100"
Professional degree ,Education,NA,NA,NA
Professional degree ,"Visual and performing arts, and communications technologies",NA,NA,NA
Professional degree ,Humanities,NA,NA,NA
Professional degree ,Social and behavioural sciences and law,"2,880","84,900","111,100"
Professional degree ,"Business, management and public administration",NA,NA,NA
Professional degree ,Physical and life sciences and technologies,NA,NA,NA
Professional degree ,"Mathematics, computer and information sciences",NA,NA,NA
Professional degree ,"Architecture, engineering, and related technologies",NA,NA,NA
Professional degree ,"Agriculture, natural resources and conservation",NA,NA,NA
Professional degree ,Health and related fields,"2,660","102,400","110,000"
Professional degree ,"Personal, protective and transportation services",NA,NA,NA
Professional degree ,Other instructional programs,NA,NA,NA
Master's degree,Education,"3,990","87,200","90,100"
Master's degree,"Visual and performing arts, and communications technologies",620,"35,600","41,500"
Master's degree,Humanities,"1,000","46,900","55,100"
Master's degree,Social and behavioural sciences and law,"3,930","65,900","76,200"
Master's degree,"Business, management and public administration","8,490","88,400","100,600"
Master's degree,Physical and life sciences and technologies,"1,220","64,900","75,900"
Master's degree,"Mathematics, computer and information sciences","1,120","73,500","83,100"
Master's degree,"Architecture, engineering, and related technologies","2,890","74,600","87,000"
Master's degree,"Agriculture, natural resources and conservation",790,"64,000","72,800"
Master's degree,Health and related fields,"4,880","78,000","83,100"
Master's degree,"Personal, protective and transportation services",100,"94,800","100,800"
Master's degree,Other instructional programs,170,"74,200","77,400"
Doctoral degree,Education,270,"97,200","96,800"
Doctoral degree,"Visual and performing arts, and communications technologies",80,"44,600","47,400"
Doctoral degree,Humanities,340,"60,500","75,100"
Doctoral degree,Social and behavioural sciences and law,"1,080","81,300","91,100"
Doctoral degree,"Business, management and public administration",150,"110,700","120,100"
Doctoral degree,Physical and life sciences and technologies,900,"65,400","83,300"
Doctoral degree,"Mathematics, computer and information sciences",200,"98,300","112,400"
Doctoral degree,"Architecture, engineering, and related technologies",710,"87,400","103,300"
Doctoral degree,"Agriculture, natural resources and conservation",120,"65,000","75,400"
Doctoral degree,Health and related fields,420,"80,400","94,300"
Doctoral degree,"Personal, protective and transportation services",0,NA,NA
Doctoral degree,Other instructional programs,60,"86,600","93,800"
